pid
285-4386
25-4763
284-6061
95-8451
181-8127
m-OnurMutlu
37-8857
117-8153
17-2705
182-7610
190-1177
65-4065-2
253-2527
90-3813-1
73-5801
135-6009
74-3859-1
130-6475
322-5951
06-8970
164-8023
117-4970
138-4250
06-3596
09-8358
g-JianboGao
80-7625
305-0503
63-5952
65-2576-4
255-6292
20-115
51-3802
40-4222
50-11536
262-1695
50-2038
59-5488
85-2110
281-4708
305-1404
122-5616
137-8182
244-7963
314-8576
27-343
j-AnilKJain
185-0778
49-4239
222-1265
139-6916
01-470
165-6136
146-9680
206-6383
188-2683
275-7644
82-2088
315-6645
38-6196
13-8376
86-10079
n-WimNuijten
98-8436
61-9493
213-1626
03-6610
302-5836
238-4381
45-794
89-1299
287-9187
64-4136
187-4136
45-5103-1
53-7788
59-914
35-5682
261-0448
292-5355
79-1331
348-2217
151-8230
24-4209
89-3404
60-8580
158-8853
99-1757
54-7908
14-8823
f-PeterMFischer1
360-4862
359-5171
43-8243
20-271
04-6670
209-0034
311-4308
195-5515
05-2613
12-2963
134-8374
167-9443
67-3804
54-645
234-3937
27-3014
233-1226
13-7446
99-2012-1
34-6333
f-YoavFreund
61-7360-4
119-7713
s-AdamSilberstein
229-9772
r-AlexanderBRomanovsky
246-8097
305-6888
06-4516
230-3946
247-8463
240-8679
199-8968
116-4739
77-2321
81-2663
142-7114
184-6617
08-517
317-2968
320-8340
k-ChristopherKruegel
34-5636
90-5961
43-1779
371-4881
51-222
300-4571
218-1533
37-6473-1
92-506
c-KaiChen10
13-6225-4
190-7555
230-6158
11-6234
17-6094
24-1518-22
63-6424
215-4447
162-5261
257-5347
57-1469
331-8397
17-256-4
48-2364
67-262
277-9610
211-2846
75-4601-8
73-3413
57-2178
45-3872
366-8059
16-3621-7
54-7064
89-5992-7
235-2988
224-6053
57-3592
50-5406
67-2010
30-2478-6
258-1301
30-2978
237-9620
14-10986
18-9002
91-2168
20-4565
156-8601
228-5011
336-1814
25-1574
y-JenniferYates
99-10801
340-0568
51-8119
57-10573
280-1068
41-4482-4
30-3008-1
133-2795
306-0915
349-1322
312-7319
125-3930
82-3697
215-4415
53-6709
a-AAiken
294-3974
121-0302
70-266
149-9443
44-3514
175-4836
f-RichardFuruta
71-6134
10-8025
236-6174
83-5000
94-7135
95-6919
42-2795
160-4473
66-9457
99-6098
170-9550
32-3825
134-1515
45-6271
171-6059
p-NPissinou
26-1323
91-6596
55-989
31-5916-8
58-6810-14
195-6829
357-0962
69-10319
370-1599
120-8712
234-6897
50-3138
224-4189
125-4088
320-1043
332-3168
67-2196
320-5927
69-5513
47-7527
30-1996
13-8967
05-8374
10-4898
168-6844
12-5444
138-8713
00-3716
l-WoShunLuk
178-5624
155-9866
90-2018
38-4014
50-7001
126-0619
00-6032
230-3530
116-5151
193-5864
38-5955
257-0107
289-3129
277-5497
88-836
05-3845
146-7874
133-2687
69-4270
68-10839
01-5809
03-5747
33-7992
178-7633
310-9462
85-6116
274-9197
134-6328
70-740
183-6722
83-2265
80-288
207-1922
228-2527
267-6038
211-6233
194-5218
71-1236
119-6477
346-0880
10-3444
24-10819
36-7942
175-5899
39-10877
74-6962
h-JasonIHong
86-489-1
311-0338
98-8479
136-8672
80-10150
55-2270-47
228-8155
120-7151
170-0808
24-89
77-6310-2
59-2227-83
153-3291
95-8100
359-6133
11-5166-6
89-9454
68-4388
53-9852
72-2374
30-8355
243-2068
365-4929
203-0056
98-5226
88-6921
14-2211
243-0228
90-2817
290-0355
148-2385
76-2502-1
98-3150
29-2479
183-6381
76-6452-3
80-4026
h-KirstenHildrum
159-4666
c-JonCrowcroft
92-3189-2
06-3385
78-6039
45-6083
201-0779
18-665
38-8016
21-3626-97
35-2314
46-11405
272-4214
91-2665
47-1678
75-694
91-1386
315-6937
181-5779
175-8954
32-2714
182-7618
184-2304
200-3115
56-8523
144-5531
03-0
360-6743
93-4160
73-193
319-5760
30-5818
62-1193
c-AAChien
40-43
37-7115
45-1589
54-10459
169-3023
344-7688
55-7939
275-1835
277-1398
26-5593
02-1272
277-2590
06-6268
84-15
54-5083
72-5342-1
51-3634
160-5981
349-5240
26-1194-8
42-4903-10
175-5549
92-8278
63-2620
251-9581
192-7626
34-3778
60-5790
50-3538
90-7721
42-10465
f-AAAFernandes
63-1409
06-270
40-1142
18-7790
m-MichaelzurMuehlen
21-4000
300-7654
68-6666
53-4216
318-2740
230-4350
148-2880
51-655
11-1394-20
27-7480
93-6593
78-1408
31-3001
48-450
75-2339
246-8072
51-5361
22-9429
31-7965
24-4650
71-5627
96-5382
76-1774
281-6709
94-37
285-1226
271-8414
177-8200
180-3147
232-2345
143-0797
10-2453
48-11406
264-7331
176-0956
69-8512-2
60-7548
129-8499
43-2474
85-8348
34-5056
39-6191-3
84-5860
99-6797
63-11443
206-2131
35-7092-36
305-9721
11-2127
09-1433
25-6540
00-1728
13-3771
39-1050
190-1396
340-7701
56-5624
93-903
40-9839
185-1891
57-3771
155-6327
86-9673
315-6459
289-0552
166-4112
s-KennethCSevcik
k-MichaelKifer
17-36-1
32-2459
352-6697
342-5999
339-3052
326-8919
274-6452
59-871-2
245-6116
247-6068
34-5097
03-3659
07-10638-2
z-ShichaoZhang
25-1823
371-1001
90-4776
322-5250
169-3495
42-3241
257-6470
178-5599
70-1077
149-5891
38-7135
317-8025
162-7798
t-StefanTai
60-1529-1
87-6559-2
224-2468
134-3418
168-3805
68-7544
97-1941
05-9379
88-1794
138-1894
359-5474
125-2710
291-4024
22-6272
39-4980-3
83-7536
137-7754
52-4664
55-4736
348-5480
136-1072
47-1481
120-1048
153-5464
51-6720
122-1461
260-0664
139-3246
v-SabrinaDeCapitanidiVimercati
185-8638
64-1244
74-2569
59-2544
41-3159
91-8644
358-2478
35-2029
55-5546
213-1417
62-5693
62-4647
121-4147
192-4957
39-1492
254-3247
151-7509
304-3710
68-1974-25
16-628
205-2958
83-6856
02-1964-1
c-FlorenceCloppet
135-6561
28-8442
05-6580
179-6089
297-4631
42-7943
255-4892
120-8823
191-9030
169-7279
37-1317
254-1917
218-0290
92-4384
207-0528
280-8888
115-7362
251-0508
199-8974
85-4712
64-3506
51-3475
304-1898
26-5086
131-5434
62-28
130-4959
13-6187
168-4683
74-6541
g-DanielDGajski
204-5394
82-4336
135-4896-2
86-2270
145-4917
79-1691
183-0941
62-4284
223-1838
83-4243
133-8838
199-9992
28-8029
54-10370
z-AlbertYZomaya
253-2184
118-7237
203-7456
185-4315
147-7942
50-6468
307-1568
232-1319
123-7543
203-9459
129-1656
88-9733
65-4875
85-763
k-KimberlyKeeton
29-563-11
55-2270-32
17-3662
358-1664
19-1924-9
38-326-2
262-5851
g-RobertoGrossi
246-7369
36-8486
73-425
22-2368
29-6643-9
288-1905
355-2381
234-2832
200-2467
246-3031
165-3696
59-8052
292-2961
324-3204
199-2112
u-DominiqueUnruh
71-1564
268-7840
16-9420
181-9154
181-5745
35-328-7
198-0509
82-5266-1
233-3433
198-7528
340-3870
59-2227-14
166-5177
116-1537
r-RoyRada
145-4462
48-4561-1
50-4528
154-3209
50-2311
32-3755
297-9103
03-2206
88-6286
11-2127-2
218-5671
48-11205
328-2378
233-8745
226-6628
17-6598
156-9502
58-5329
128-7843
75-5560-3
m-TimMenzies
280-8174
259-3554
127-1232
m-ReaganMoore
26-2310
53-5566
73-5782
39-9613
11-5872
31-9852
273-7646
30-6251
97-2966
139-9735
353-7697
73-7982
42-10668
p-KunsooPark
l-JianxinLi-2
239-8344
156-7240
158-6656
21-6679
32-8037-2
11-753
06-3602
96-1748
71-2346
299-9375
83-238
217-1794
69-6211-5
97-3742
168-4931
56-2687
251-6665
228-9744
368-5120
16-599
246-8500
38-3066
189-5923
287-7912
322-4165
66-10319
202-1476
154-1939
262-9484
228-6028
207-8893
95-2667
295-9116
29-4447
133-1927
38-1395
19-7453
283-5953
99-11105
87-10764
204-1165
80-6528
221-5665
289-6465
51-6746
202-2450
29-7424
39-4287
19-484
08-5092
124-8427
153-2385
13-4202
339-6450
48-8545
146-8113
67-7801
20-10607
91-3045
05-4463
219-7303
08-6525
97-6300
57-1380
32-3261
266-1504
305-8756
260-9154
25-5820
169-7173
16-1858
74-8086
163-6512
130-4962
07-6384
21-3626-92
145-6171
66-3387-57
70-2619
246-3130
30-1994
173-1968
188-0909
o-GultekinOzsoyoglu
76-7313
18-2311
269-9966
17-2247-7
99-8932
115-6953
39-3768
81-6692
20-6874
17-9937
331-3354
37-2109-25
319-1645
299-8626
92-1322
63-4426
117-4898
141-6245
51-5203
237-0718
39-2793
61-3463
136-8716
18-7526
52-767
177-7176
220-2020
48-4950-1
41-1971
17-6822
21-7664
270-1003
147-8572
262-5806
141-4384
323-4238
131-9569
04-424
76-1520
218-5524
57-885
211-4019
130-1156
m-SAMMakki
246-8180
181-2323
281-6606
326-7132
174-9967
194-4311
79-1076
186-7220
48-6248-1
321-0630
76-5354
03-4524
142-2136
344-1833
176-5135
126-8755
209-8995
178-7479
324-8910
308-2507
150-4170
48-6139
188-6606
56-4447
223-4487
10-1867
185-5112
160-8477
139-0768
97-3222
h-AHelal
86-889
279-2132
252-4540
159-1225
29-8323
181-7427
20-1680
354-8205
52-7719
50-7954
138-5196
64-2155
98-4640
16-7566
348-7745
260-8814
284-0937
125-3311
10-649
72-5784
363-8788
195-4990
20-1607
17-6530
122-7949
163-1058
66-8430
242-2942
259-0877
68-6274-1
271-5232
18-1523
207-7709
136-5589
36-4372
327-1821
198-0968
30-8616
83-1828
99-7539
79-6542
s-EinoshinSuzuki
94-5561
06-2271
259-6383
65-3147
321-8280
92-4806
75-284
275-9340
68-782
52-4627
r-RaymondReiter
204-4266
g-AGounaris
27-5847
01-10629
47-9226
91-7923
01-5394-24
58-2704
12-1693
139-1012
13-5366-2
177-1941
342-3852
236-8985
79-9389
264-0025
63-10316
216-2683-5
181-2834-46
343-5770
217-3419
p-VernPaxson
120-2260
248-5342
282-5239
168-2448
221-4637
36-882
249-2209
192-6758
34-10554
301-5036
24-2238
326-7146
76-5703
31-2622
361-2457
209-9476
24-8685
08-2686
317-6968
47-10063
31-6028
147-4452
04-2124
36-1754
254-4892
23-2554
285-4245
158-8213
231-5590
165-5805
10-3984
159-0358
55-6050
96-5144
51-2440
84-811
342-8598
83-1616
238-1489
203-8062
70-1220
27-258
c-PPChen
283-6738
278-4995
66-6642
213-9296
154-9563
38-5896
136-9191
90-2390
58-175
w-DanielSWeld
326-0097
18-11455
292-9318
c-RichCaruana
206-3927
96-9827
238-0875
43-6657-13
73-1388
356-5933
52-5716
248-8885
121-3740
331-6641
326-2286
98-2427-7
215-5306
196-1372
00-2669
361-7329
152-3745
254-4366
254-2128
57-1406
165-5679
90-550-1
68-3522
198-8322
39-5910
119-6797
135-0773
214-5868
277-5315
34-8177
05-906
205-0092
136-9453
51-2936
06-8386
55-5266-3
23-6950
73-42
89-1538
367-5789
145-7726
96-4108
18-6557
206-7118
s-EricSimon
135-4675
360-5089
a-CharuCAggarwal
40-4813
69-6951
56-1991
190-1566
99-2706
224-0143
345-8683
52-7662
220-4084
49-1510
296-4936
27-7315
08-7662
243-2549
199-5651
270-5376
67-4433
179-0672
120-1603
283-5772
94-7236
99-6865
12-4534
37-5076
46-2873
163-0865
42-6593
282-8307
r-GRamalingam
160-4533
98-4156
204-0429
277-5627
336-3403
119-7710
223-1809
28-2350
50-1959
68-8919
218-8894
362-2898
